dagsetning,konnun,flokkur,prosent
2017-09-18,Skoðanakönnun Zenter haust 2017,Sjálfstæðisfl.,26,4
2017-09-18,Skoðanakönnun Zenter haust 2017,Vinstri græn,22,8
2017-09-18,Skoðanakönnun Zenter haust 2017,Píratar,12,5
2017-09-18,Skoðanakönnun Zenter haust 2017,Aðrir,10,6
2017-09-18,Skoðanakönnun Zenter haust 2017,Framsóknarfl.,10,5
2017-09-18,Skoðanakönnun Zenter haust 2017,Samf.,9
2017-09-18,Skoðanakönnun Zenter haust 2017,Björt framtíð,5,6
2017-09-18,Skoðanakönnun Zenter haust 2017,Viðreisn,2,7
2017-09-19,Fréttablaðið haust 2017,Sjálfstæðisfl.,23
2017-09-19,Fréttablaðið haust 2017,Vinstri græn,22,8
2017-09-19,Fréttablaðið haust 2017,Píratar,13,7
2017-09-19,Fréttablaðið haust 2017,Flokkur fólksins,10,9
2017-09-19,Fréttablaðið haust 2017,Framsóknarfl.,10,4
2017-09-19,Fréttablaðið haust 2017,Björt framtíð,7,1
2017-09-19,Fréttablaðið haust 2017,Viðreisn,5,2
2017-09-19,Fréttablaðið haust 2017,Samf.,5,1
2017-09-19,Fréttablaðið haust 2017,Aðrir,1,8
2017-09-23,Morgunblaðið haust 2017,Vinstri græn,30
2017-09-23,Morgunblaðið haust 2017,Sjálfstæðisfl.,23
2017-09-23,Morgunblaðið haust 2017,Framsóknarfl.,11
2017-09-23,Morgunblaðið haust 2017,Píratar,10
2017-09-23,Morgunblaðið haust 2017,Flokkur fólksins,9
2017-09-23,Morgunblaðið haust 2017,Samf.,8
2017-09-23,Morgunblaðið haust 2017,Viðreisn,6
2017-09-23,Morgunblaðið haust 2017,Björt framtíð,3
2017-09-23,Morgunblaðið haust 2017,Aðrir,1
2017-09-30,Gallup,Vinstri græn,25,4
2017-09-30,Gallup,Sjálfstæðisfl.,23,1
2017-09-30,Gallup,Píratar,10,3
2017-09-30,Gallup,Fl. fólksins,10,1
2017-09-30,Gallup,Framsóknarfl.,9,9
2017-09-30,Gallup,Samf.,9,3
2017-09-30,Gallup,Björt framtíð,4,6
2017-09-30,Gallup,Viðreisn,3,6
2017-09-30,Gallup,Miðfl.,2
2017-09-30,Gallup,Aðrir,1,7
2017-09-30,Morgunblaðið haust 2017,Vinstri græn,28,8
2017-09-30,Morgunblaðið haust 2017,Sjálfstæðisfl.,24,3
2017-09-30,Morgunblaðið haust 2017,Píratar,11,6
2017-09-30,Morgunblaðið haust 2017,Samf.,7,5
2017-09-30,Morgunblaðið haust 2017,Framsóknarfl.,7
2017-09-30,Morgunblaðið haust 2017,Fl. fólksins,6,5
2017-09-30,Morgunblaðið haust 2017,Viðreisn,4,8
2017-09-30,Morgunblaðið haust 2017,Miðfl.,4,6
2017-09-30,Morgunblaðið haust 2017,Björt framtíð,4,3
2017-09-30,Morgunblaðið haust 2017,Aðrir,0,6
2017-10-04,Fréttablaðið haust 2017,Vinstri græn,28,6
2017-10-04,Fréttablaðið haust 2017,Sjálfstæðisfl.,22,3
2017-10-04,Fréttablaðið haust 2017,Píratar,11,4
