Ráðuneyti,Rasto,Stofnun,Gjöld - sértekjur
00  Æðsta stjórn ríkisins,00101,Embætti forseta Íslands,140143354
00  Æðsta stjórn ríkisins,00201,Alþingi,1890490872
00  Æðsta stjórn ríkisins,00205,Framkvæmdir á Alþingisreit,0
00  Æðsta stjórn ríkisins,00290,Stjórnlagaþing,8643822
00  Æðsta stjórn ríkisins,00291,Rannsóknarnefndir Alþingis,216691927
00  Æðsta stjórn ríkisins,00295,Saksóknari Alþingis,17925785
00  Æðsta stjórn ríkisins,00301,Ríkisstjórn,189561042
00  Æðsta stjórn ríkisins,00401,Hæstiréttur,185774337
00  Æðsta stjórn ríkisins,00610,Umboðsmaður Alþingis,101345158
00  Æðsta stjórn ríkisins,00620,Ríkisendurskoðun,358133021
01  Forsætisráðuneyti,01101,"Forsætisráðuneyti, aðalskrifstofa",242119224
01  Forsætisráðuneyti,01190,Ýmis verkefni,34007311
01  Forsætisráðuneyti,01199,Ráðstöfunarfé,0
01  Forsætisráðuneyti,01201,Fasteignir forsætisráðuneytis,56156401
01  Forsætisráðuneyti,01203,Fasteignir Stjórnarráðsins,27238402
01  Forsætisráðuneyti,01241,Umboðsmaður barna,27609397
01  Forsætisráðuneyti,01253,Vest-norrænt menningarhús í Kaupmannahöfn,11691579
01  Forsætisráðuneyti,01261,Óbyggðanefnd,28601522
01  Forsætisráðuneyti,01271,Ríkislögmaður,52930597
01  Forsætisráðuneyti,01281,Atvinnuuppbygging og fjölgun vistvænna starfa,1500000
01  Forsætisráðuneyti,01902,Þjóðgarðurinn á Þingvöllum,107568221
01  Forsætisráðuneyti,01996,"Íslenska upplýsingasamfélagið, sameiginleg verkefni ráðuneyta",0
02  Mennta- og menningarmálaráðuneyti,02101,"Mennta- og menningarmálaráðuneyti, aðalskrifstofa",635269898
02  Mennta- og menningarmálaráðuneyti,02199,Ráðstöfunarfé,0
02  Mennta- og menningarmálaráðuneyti,02201,Háskóli Íslands,8115641061
02  Mennta- og menningarmálaráðuneyti,02202,Tilraunastöð Háskólans að Keldum,148843309
02  Mennta- og menningarmálaráðuneyti,02203,Raunvísindastofnun Háskólans,374747904
02  Mennta- og menningarmálaráðuneyti,02209,Stofnun Árna Magnússonar í íslenskum fræðum,214754947
02  Mennta- og menningarmálaráðuneyti,02210,Háskólinn á Akureyri,1060938507
02  Mennta- og menningarmálaráðuneyti,02216,Landbúnaðarháskóli Íslands,499229947
02  Mennta- og menningarmálaráðuneyti,02217,Hólaskóli - Háskólinn á Hólum,253876262
02  Mennta- og menningarmálaráðuneyti,02223,Námsmatsstofnun,83759793
02  Mennta- og menningarmálaráðuneyti,02225,Háskólinn á Bifröst,241273800
02  Mennta- og menningarmálaráðuneyti,02227,Háskólinn í Reykjavík,1510572000
02  Mennta- og menningarmálaráðuneyti,02228,Listaháskóli Íslands,497549960
02  Mennta- og menningarmálaráðuneyti,02231,Rannsóknamiðstöð Íslands,224429969
02  Mennta- og menningarmálaráðuneyti,02235,Markáætlun á sviði vísinda og tækni,53950041
02  Mennta- og menningarmálaráðuneyti,02236,Rannsóknasjóður,595554016
02  Mennta- og menningarmálaráðuneyti,02238,Tækjasjóður,71505106
02  Mennta- og menningarmálaráðuneyti,02239,Rannsóknarnámssjóður,65126298
02  Mennta- og menningarmálaráðuneyti,02269,"Háskóla- og vísindastofnanir, viðhald og stofnkostnaður",-53337432
02  Mennta- og menningarmálaráðuneyti,02299,Háskóla- og rannsóknastarfsemi,337275794
02  Mennta- og menningarmálaráðuneyti,02301,Menntaskólinn í Reykjavík,394602038
02  Mennta- og menningarmálaráðuneyti,02302,Menntaskólinn á Akureyri,403331927
02  Mennta- og menningarmálaráðuneyti,02303,Menntaskólinn að Laugarvatni,143377995
02  Mennta- og menningarmálaráðuneyti,02304,Menntaskólinn við Hamrahlíð,679951887
02  Mennta- og menningarmálaráðuneyti,02305,Menntaskólinn við Sund,352585520
02  Mennta- og menningarmálaráðuneyti,02306,Menntaskólinn á Ísafirði,201712600
02  Mennta- og menningarmálaráðuneyti,02307,Menntaskólinn á Egilsstöðum,225038540
02  Mennta- og menningarmálaráðuneyti,02308,Menntaskólinn í Kópavogi,646056232
02  Mennta- og menningarmálaráðuneyti,02309,Kvennaskólinn í Reykjavík,336965450
02  Mennta- og menningarmálaráðuneyti,02316,Fasteignir framhaldsskóla,50487246
02  Mennta- og menningarmálaráðuneyti,02318,"Framhaldsskólar, stofnkostnaður",55318144
02  Mennta- og menningarmálaráðuneyti,02319,"Framhaldsskólar, almennt",564115128
02  Mennta- og menningarmálaráðuneyti,02320,Nám á framhaldsstigi vegna aðstæðna á vinnumarkaði,29920000
02  Mennta- og menningarmálaráðuneyti,02350,Fjölbrautaskólinn í Breiðholti,769842115
02  Mennta- og menningarmálaráðuneyti,02351,Fjölbrautaskólinn Ármúla,654665730
02  Mennta- og menningarmálaráðuneyti,02352,Flensborgarskóli,449456096
02  Mennta- og menningarmálaráðuneyti,02353,Fjölbrautaskóli Suðurnesja,565329423
02  Mennta- og menningarmálaráðuneyti,02354,Fjölbrautaskóli Vesturlands,336127368
02  Mennta- og menningarmálaráðuneyti,02355,Framhaldsskólinn í Vestmannaeyjum,166099392
02  Mennta- og menningarmálaráðuneyti,02356,Fjölbrautaskóli Norðurlands vestra,285575653
02  Mennta- og menningarmálaráðuneyti,02357,Fjölbrautaskóli Suðurlands,608847015
02  Mennta- og menningarmálaráðuneyti,02358,Verkmenntaskóli Austurlands,186953750
02  Mennta- og menningarmálaráðuneyti,02359,Verkmenntaskólinn á Akureyri,847983873
02  Mennta- og menningarmálaráðuneyti,02360,Fjölbrautaskólinn í Garðabæ,396063922
02  Mennta- og menningarmálaráðuneyti,02361,Framhaldsskólinn í A-Skaftafellssýslu,113524030
02  Mennta- og menningarmálaráðuneyti,02362,Framhaldsskólinn á Húsavík,92844928
02  Mennta- og menningarmálaráðuneyti,02363,Framhaldsskólinn á Laugum,146395616
02  Mennta- og menningarmálaráðuneyti,02365,Borgarholtsskóli,701876282
02  Mennta- og menningarmálaráðuneyti,02367,Fjölbrautaskóli Snæfellinga,161180347
02  Mennta- og menningarmálaráðuneyti,02368,Menntaskóli Borgarfjarðar,127984238
02  Mennta- og menningarmálaráðuneyti,02369,Menntaskólinn Hraðbraut,82958517
02  Mennta- og menningarmálaráðuneyti,02370,Framhaldsskólinn í Mosfellsbæ,130135933
02  Mennta- og menningarmálaráðuneyti,02372,Menntaskólinn á Tröllaskaga,83247980
02  Mennta- og menningarmálaráðuneyti,02430,Samskiptamiðstöð heyrnarlausra og heyrnarskertra,71027320
02  Mennta- og menningarmálaráðuneyti,02441,Fullorðinsfræðsla fatlaðra,167829258
02  Mennta- og menningarmálaráðuneyti,02451,Framhaldsfræðsla,968470289
02  Mennta- og menningarmálaráðuneyti,02504,Tækniskólinn,1434593000
02  Mennta- og menningarmálaráðuneyti,02516,Iðnskólinn í Hafnarfirði,417151129
02  Mennta- og menningarmálaráðuneyti,02518,Þróunarsjóður fyrir starfsnám,26330884
02  Mennta- og menningarmálaráðuneyti,02519,Vinnustaðanámssjóður,87106106
