raduneyti,rasto,stofnun,size
00 Æðsta stjórn ríkisins  ,00101,Embætti forseta Íslands,193619674
00 Æðsta stjórn ríkisins  ,00201,Alþingi,2571860711
00 Æðsta stjórn ríkisins  ,00205,Framkvæmdir á Alþingisreit,37414217
00 Æðsta stjórn ríkisins  ,00290,Stjórnlagaþing,8643822
00 Æðsta stjórn ríkisins  ,00291,Rannsóknarnefndir Alþingis,381267331
00 Æðsta stjórn ríkisins  ,00295,Saksóknari Alþingis,17833961
00 Æðsta stjórn ríkisins  ,00301,Ríkisstjórn,253062313
00 Æðsta stjórn ríkisins  ,00401,Hæstiréttur,238561547
00 Æðsta stjórn ríkisins  ,00610,Umboðsmaður Alþingis,142513893
00 Æðsta stjórn ríkisins  ,00620,Ríkisendurskoðun,459754321
01  Forsætisráðuneyti  ,01101,"Forsætisráðuneyti, aðalskrifstofa",337597963
01  Forsætisráðuneyti  ,01190,Ýmis verkefni,155838280
01  Forsætisráðuneyti  ,01199,Ráðstöfunarfé,0
01  Forsætisráðuneyti  ,01201,Fasteignir forsætisráðuneytis,80003530
01  Forsætisráðuneyti  ,01203,Fasteignir Stjórnarráðsins,28413592
01  Forsætisráðuneyti  ,01241,Umboðsmaður barna,41778022
01  Forsætisráðuneyti  ,01253,Vest-norrænt menningarhús í Kaupmannahöfn,11934000
01  Forsætisráðuneyti  ,01261,Óbyggðanefnd,40472900
01  Forsætisráðuneyti  ,01271,Ríkislögmaður,66031417
01  Forsætisráðuneyti  ,01281,Atvinnuuppbygging og fjölgun vistvænna starfa,1500000
01  Forsætisráðuneyti  ,01902,Þjóðgarðurinn á Þingvöllum,128758392
02  Mennta- og menningarmálaráðuneyti  ,02101,"Mennta- og menningarmálaráðuneyti, aðalskrifstofa",853659930
02  Mennta- og menningarmálaráðuneyti  ,02199,Ráðstöfunarfé,0
02  Mennta- og menningarmálaráðuneyti  ,02201,Háskóli Íslands,10867203212
02  Mennta- og menningarmálaráðuneyti  ,02202,Tilraunastöð Háskólans að Keldum,207439372
02  Mennta- og menningarmálaráðuneyti  ,02203,Raunvísindastofnun Háskólans,368964386
02  Mennta- og menningarmálaráðuneyti  ,02209,Stofnun Árna Magnússonar í íslenskum fræðum,290302761
02  Mennta- og menningarmálaráðuneyti  ,02210,Háskólinn á Akureyri,1412984493
